,Primary_applicant_age_in_years,Gender,Marital_status,Number_of_dependents,Housing,Years_at_current_residence,Employment_status,Has_been_employed_for_at_least,Foreign_worker,Savings_account_balance,Balance_in_existing_bank_account_(lower_limit_of_bucket),Balance_in_existing_bank_account_(upper_limit_of_bucket),Months_loan_taken_for,Purpose,Principal_loan_amount,EMI_rate_in_percentage_of_disposable_income,Property,Has_coapplicant,Has_guarantor,Number_of_existing_loans_at_this_bank,Loan_history,high_risk_applicant
246,52,male,single,1,own,4,skilled employee / official,7 years,1,Low,0,0,12,electronic equipment,717000,4,real estate,0,0,3,critical/pending loans at other banks,0
247,35,male,single,1,rent,1,skilled employee / official,1 year,0,Medium,0,0,6,new vehicle,1204000,4,car or other,0,0,1,no loans taken/all loans paid back duly,0
248,26,male,single,1,own,2,skilled employee / official,1 year,1,Low,2 lac,0,24,FF&E,1925000,2,real estate,0,0,1,existing loans paid back duly till now,0
249,22,female,divorced/separated/married,1,rent,4,skilled employee / official,0 year,1,Low,0,0,18,electronic equipment,433000,3,real estate,1,0,1,existing loans paid back duly till now,1
250,39,female,divorced/separated/married,1,own,4,unskilled - resident,4 years,1,Very high,0,0,6,new vehicle,666000,3,real estate,0,0,2,critical/pending loans at other banks,0
251,46,female,divorced/separated/married,1,own,2,unskilled - resident,1 year,1,Low,2 lac,0,12,FF&E,2251000,1,car or other,0,0,1,existing loans paid back duly till now,0
252,24,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,1,Low,0,2 lac,30,new vehicle,2150000,4,car or other,0,1,1,existing loans paid back duly till now,1
253,35,male,single,1,own,3,skilled employee / official,1 year,1,Medium,0,0,24,FF&E,4151000,2,building society savings agreement/life insurance,0,0,2,delay in paying off loans in the past,0
254,24,male,single,1,own,1,skilled employee / official,4 years,1,Low,0,2 lac,9,FF&E,2030000,2,car or other,0,0,1,existing loans paid back duly till now,0
255,27,male,single,1,own,1,unskilled - resident,1 year,1,Low,0,2 lac,60,electronic equipment,7418000,1,real estate,0,0,1,delay in paying off loans in the past,0
256,35,male,single,1,own,2,unskilled - resident,1 year,1,Low,0,0,24,electronic equipment,2684000,4,real estate,0,0,2,critical/pending loans at other banks,0
257,29,male,divorced/separated,1,for free,1,skilled employee / official,1 year,1,Low,0,0,12,electronic equipment,2149000,4,car or other,0,0,1,all loans at this bank paid back duly,1
258,23,female,divorced/separated/married,1,own,4,skilled employee / official,0 year,1,Medium,0,0,15,used vehicle,3812000,1,car or other,0,0,1,existing loans paid back duly till now,0
259,57,female,divorced/separated/married,1,own,4,unskilled - resident,0 year,1,Medium,0,0,11,electronic equipment,1154000,4,real estate,0,0,3,critical/pending loans at other banks,0
260,27,male,single,1,own,2,skilled employee / official,1 year,1,Low,0,0,12,FF&E,1657000,2,real estate,0,0,1,existing loans paid back duly till now,0
261,55,female,divorced/separated/married,1,own,4,skilled employee / official,7 years,1,Low,0,0,24,electronic equipment,1603000,4,car or other,0,0,1,existing loans paid back duly till now,0
262,36,male,single,1,for free,4,management / self-employed / highly qualified employee / officer,7 years,1,Low,0,0,18,new vehicle,5302000,2,car or other,0,0,3,critical/pending loans at other banks,0
263,57,female,divorced/separated/married,1,for free,4,unskilled - resident,7 years,1,Low,0,0,12,education,2748000,2,car or other,0,0,3,critical/pending loans at other banks,0
264,32,male,single,2,own,4,unskilled - resident,7 years,0,Low,0,0,10,new vehicle,1231000,3,real estate,0,0,2,critical/pending loans at other banks,0
265,37,male,single,2,own,3,skilled employee / official,7 years,1,Low,0,2 lac,15,electronic equipment,802000,4,car or other,0,0,1,existing loans paid back duly till now,1
266,36,male,single,1,own,4,skilled employee / official,7 years,1,Low,0,0,36,business,6304000,4,real estate,0,0,2,critical/pending loans at other banks,0
267,38,female,divorced/separated/married,1,own,3,skilled employee / official,0 year,1,Low,0,0,24,electronic equipment,1533000,4,car or other,0,0,1,existing loans paid back duly till now,0
268,45,male,divorced/separated,1,own,4,management / self-employed / highly qualified employee / officer,7 years,0,Low,0,0,14,new vehicle,8978000,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1
269,25,male,single,1,own,2,skilled employee / official,7 years,1,Low,0,0,24,electronic equipment,999000,4,car or other,0,0,2,existing loans paid back duly till now,0
270,32,male,single,1,own,3,skilled employee / official,4 years,0,Low,0,0,18,new vehicle,2662000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
271,37,female,divorced/separated/married,1,rent,4,skilled employee / official,4 years,1,High,0,0,12,FF&E,1402000,3,car or other,0,0,1,critical/pending loans at other banks,0
272,36,male,single,1,for free,4,management / self-employed / highly qualified employee / officer,0 year,1,Low,0,2 lac,48,new vehicle,12169000,4,car or other,1,0,1,all loans at this bank paid back duly,0
273,28,male,single,1,own,4,skilled employee / official,4 years,1,Low,0,2 lac,48,electronic equipment,3060000,4,real estate,0,0,2,existing loans paid back duly till now,1
274,34,male,divorced/separated,1,own,1,unskilled - resident,0 year,1,Low,0,0,30,repair costs,11998000,1,car or other,0,0,1,existing loans paid back duly till now,1
275,32,male,single,2,own,2,skilled employee / official,1 year,1,Low,0,0,9,electronic equipment,2697000,1,real estate,0,0,1,existing loans paid back duly till now,0
276,26,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,1,Low,0,0,18,electronic equipment,2404000,2,car or other,0,0,2,critical/pending loans at other banks,0
277,49,male,divorced/separated,1,own,4,unskilled - resident,7 years,1,Low,0,0,12,FF&E,1262000,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
278,32,female,divorced/separated/married,1,own,4,skilled employee / official,0 year,1,Low,0,0,6,FF&E,4611000,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1
279,29,male,single,1,rent,4,management / self-employed / highly qualified employee / officer,1 year,1,Medium,0,0,24,electronic equipment,1901000,4,car or other,0,0,1,existing loans paid back duly till now,0
280,23,male,single,1,rent,4,skilled employee / official,7 years,1,Very high,0,0,15,used vehicle,3368000,3,car or other,0,0,2,critical/pending loans at other banks,0
281,50,male,single,1,own,2,skilled employee / official,1 year,1,Low,0,0,12,FF&E,1574000,4,real estate,0,0,1,existing loans paid back duly till now,0
282,49,male,single,1,own,4,unskilled - resident,4 years,1,Low,2 lac,0,18,electronic equipment,1445000,4,car or other,0,0,1,all loans at this bank paid back duly,0
283,63,male,single,1,own,4,skilled employee / official,7 years,1,Low,0,0,15,FF&E,1520000,4,building society savings agreement/life insurance,0,0,1,critical/pending loans at other banks,0
284,37,male,divorced/separated,1,own,2,skilled employee / official,0 year,1,Medium,0,2 lac,24,new vehicle,3878000,4,car or other,0,0,1,critical/pending loans at other banks,0
285,35,female,divorced/separated/married,1,own,1,unskilled - resident,0 year,1,Low,0,0,47,new vehicle,10722000,1,real estate,0,0,1,existing loans paid back duly till now,0
286,26,male,single,2,own,3,skilled employee / official,4 years,1,Low,0,0,48,used vehicle,4788000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
287,31,male,single,1,for free,4,management / self-employed / highly qualified employee / officer,0 year,1,Medium,0,2 lac,48,electronic equipment,7582000,2,car or other,0,0,1,delay in paying off loans in the past,0
288,49,female,divorced/separated/married,1,own,4,skilled employee / official,1 year,1,Low,0,2 lac,12,electronic equipment,1092000,4,real estate,0,1,2,existing loans paid back duly till now,0
289,48,male,married/widowed,1,own,4,skilled employee / official,0 year,1,Low,0,0,24,electronic equipment,1024000,4,real estate,0,0,1,delay in paying off loans in the past,1
290,26,male,married/widowed,1,own,2,skilled employee / official,1 year,0,Low,0,0,12,business,1076000,2,real estate,0,0,1,existing loans paid back duly till now,0
291,28,male,married/widowed,1,rent,4,management / self-employed / highly qualified employee / officer,0 year,1,Low,0,2 lac,36,used vehicle,9398000,1,car or other,0,0,1,existing loans paid back duly till now,1
292,44,female,divorced/separated/married,2,for free,4,management / self-employed / highly qualified employee / officer,7 years,1,Low,0,0,24,used vehicle,6419000,2,car or other,0,0,2,critical/pending loans at other banks,0
293,56,male,single,1,for free,4,skilled employee / official,7 years,1,Low,2 lac,0,42,used vehicle,4796000,4,car or other,0,0,1,critical/pending loans at other banks,0
294,46,male,divorced/separated,2,own,2,management / self-employed / highly qualified employee / officer,7 years,1,Low,0,0,48,business,7629000,4,car or other,0,0,2,critical/pending loans at other banks,0
295,26,female,divorced/separated/married,1,own,2,skilled employee / official,0 year,1,Low,0,2 lac,48,FF&E,9960000,1,car or other,0,0,1,existing loans paid back duly till now,1
296,20,female,divorced/separated/married,1,rent,4,skilled employee / official,0 year,1,Low,0,0,12,used vehicle,4675000,1,car or other,0,0,1,existing loans paid back duly till now,0
297,45,male,single,1,own,2,unskilled - resident,7 years,0,Low,0,0,10,new vehicle,1287000,4,building society savings agreement/life insurance,1,0,1,existing loans paid back duly till now,0
298,43,male,single,1,own,4,skilled employee / official,1 year,1,Low,0,0,18,FF&E,2515000,3,real estate,0,0,1,existing loans paid back duly till now,0
299,32,male,single,1,own,2,skilled employee / official,4 years,1,Very high,0,2 lac,21,FF&E,2745000,3,car or other,0,0,2,critical/pending loans at other banks,0
300,54,female,divorced/separated/married,1,own,4,unemployed / unskilled - non-resident,0 year,1,Low,0,0,6,new vehicle,672000,1,real estate,0,0,1,existing loans paid back duly till now,0
301,42,female,divorced/separated/married,1,own,1,skilled employee / official,1 year,1,Low,0,2 lac,36,electronic equipment,3804000,4,car or other,0,0,1,no loans taken/all loans paid back duly,1
302,37,male,single,2,own,2,unskilled - resident,4 years,1,Low,2 lac,0,24,new vehicle,1344000,4,real estate,0,0,2,critical/pending loans at other banks,1
303,49,male,single,1,own,3,skilled employee / official,4 years,1,Low,0,0,10,new vehicle,1038000,4,building society savings agreement/life insurance,1,0,2,critical/pending loans at other banks,0
304,44,male,single,1,for free,2,skilled employee / official,1 year,1,High,0,0,48,new vehicle,10127000,2,car or other,0,0,1,critical/pending loans at other banks,1
305,33,male,divorced/separated,1,own,2,skilled employee / official,1 year,1,Very high,0,0,6,FF&E,1543000,4,real estate,0,0,1,existing loans paid back duly till now,0
306,24,female,divorced/separated/married,1,rent,4,unskilled - resident,4 years,1,Low,0,0,30,used vehicle,4811000,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
307,33,male,married/widowed,1,own,3,unskilled - resident,0 year,1,Medium,0,0,12,electronic equipment,727000,4,car or other,0,0,1,existing loans paid back duly till now,1
308,24,female,divorced/separated/married,1,own,4,skilled employee / official,1 year,1,Low,0,2 lac,8,FF&E,1237000,3,real estate,0,0,1,existing loans paid back duly till now,1
309,22,male,married/widowed,1,rent,4,unskilled - resident,1 year,1,Low,0,2 lac,9,new vehicle,276000,4,real estate,0,0,1,existing loans paid back duly till now,0
310,40,male,single,1,for free,4,unemployed / unskilled - non-resident,0 year,1,Low,0,2 lac,48,electronic equipment,5381000,3,car or other,0,0,1,existing loans paid back duly till now,0
311,25,male,single,1,own,1,skilled employee / official,1 year,1,Medium,0,0,24,FF&E,5511000,4,car or other,0,0,1,existing loans paid back duly till now,0
312,26,female,divorced/separated/married,1,own,4,skilled employee / official,0 year,1,Low,2 lac,0,24,FF&E,3749000,2,car or other,0,0,1,existing loans paid back duly till now,0
313,25,male,married/widowed,1,own,3,unskilled - resident,4 years,1,Low,0,2 lac,12,new vehicle,685000,2,car or other,0,0,1,existing loans paid back duly till now,1
314,29,male,single,2,own,2,unskilled - resident,0 year,0,Low,2 lac,0,4,new vehicle,1494000,1,real estate,0,0,1,existing loans paid back duly till now,0
315,31,male,single,1,own,4,skilled employee / official,7 years,1,Low,0,0,36,FF&E,2746000,4,car or other,0,0,1,all loans at this bank paid back duly,1
316,38,male,single,2,own,3,unskilled - resident,1 year,1,Low,0,0,12,FF&E,708000,2,building society savings agreement/life insurance,0,1,1,existing loans paid back duly till now,0
317,48,female,divorced/separated/married,1,own,4,unskilled - resident,1 year,1,Low,0,2 lac,24,FF&E,4351000,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
318,32,male,single,1,own,2,skilled employee / official,1 year,1,Low,0,0,12,education,701000,4,car or other,0,0,2,critical/pending loans at other banks,0
319,27,female,divorced/separated/married,1,own,4,unskilled - resident,7 years,1,Low,0,0,15,FF&E,3643000,1,building society savings agreement/life insurance,0,0,2,delay in paying off loans in the past,0
320,28,male,married/widowed,1,own,2,management / self-employed / highly qualified employee / officer,0 year,1,Low,0,2 lac,30,new vehicle,4249000,4,car or other,0,0,2,critical/pending loans at other banks,1
321,32,male,divorced/separated,1,own,3,skilled employee / official,0 year,1,Low,0,0,24,electronic equipment,1938000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1
322,34,male,single,1,for free,1,management / self-employed / highly qualified employee / officer,4 years,1,Low,0,0,24,used vehicle,2910000,2,car or other,0,0,1,existing loans paid back duly till now,0
323,28,male,single,1,own,2,skilled employee / official,1 year,1,Very high,0,0,18,FF&E,2659000,4,car or other,0,0,1,existing loans paid back duly till now,0
324,36,female,divorced/separated/married,1,own,3,skilled employee / official,1 year,1,Low,0,0,18,new vehicle,1028000,4,real estate,0,0,2,critical/pending loans at other banks,0
325,39,male,single,1,own,4,unskilled - resident,4 years,0,Low,0,0,8,new vehicle,3398000,1,real estate,0,0,2,critical/pending loans at other banks,0
326,49,male,single,1,rent,4,skilled employee / official,7 years,1,Low,0,0,12,FF&E,5801000,2,building society savings agreement/life insurance,0,0,1,critical/pending loans at other banks,0
327,34,female,divorced/separated/married,2,own,3,skilled employee / official,4 years,1,Very high,0,0,24,new vehicle,1525000,4,car or other,0,0,1,existing loans paid back duly till now,0
328,31,male,single,1,own,2,skilled employee / official,7 years,1,Low,2 lac,0,36,electronic equipment,4473000,4,car or other,0,0,1,existing loans paid back duly till now,0
329,28,male,single,2,own,4,skilled employee / official,7 years,1,Low,0,2 lac,6,electronic equipment,1068000,4,car or other,0,0,1,existing loans paid back duly till now,0
330,75,male,single,1,for free,4,management / self-employed / highly qualified employee / officer,0 year,1,Low,0,0,24,used vehicle,6615000,2,car or other,0,0,2,critical/pending loans at other banks,0
331,30,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,1,Medium,0,0,18,education,1864000,4,real estate,0,0,2,critical/pending loans at other banks,1
332,24,female,divorced/separated/married,1,own,2,management / self-employed / highly qualified employee / officer,0 year,1,Medium,0,2 lac,60,new vehicle,7408000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1
333,24,female,divorced/separated/married,1,rent,4,unskilled - resident,1 year,1,Medium,0,0,48,used vehicle,11590000,2,car or other,0,0,2,critical/pending loans at other banks,1
334,23,male,single,2,rent,4,skilled employee / official,7 years,1,Low,0,0,24,FF&E,4110000,3,car or other,0,0,2,no loans taken/all loans paid back duly,1
335,44,male,divorced/separated,1,rent,4,management / self-employed / highly qualified employee / officer,1 year,1,Low,0,0,6,FF&E,3384000,1,real estate,0,0,1,critical/pending loans at other banks,1
336,23,female,divorced/separated/married,1,own,4,unskilled - resident,0 year,1,Low,0,2 lac,13,electronic equipment,2101000,2,building society savings agreement/life insurance,0,1,1,existing loans paid back duly till now,0
337,24,female,divorced/separated/married,1,rent,2,skilled employee / official,1 year,1,Low,0,0,15,domestic appliances,1275000,4,car or other,0,0,1,existing loans paid back duly till now,1
338,28,male,single,1,own,4,skilled employee / official,1 year,1,Low,0,0,24,FF&E,4169000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
339,31,male,divorced/separated,1,own,2,unskilled - resident,1 year,1,Low,0,2 lac,10,FF&E,1521000,4,car or other,0,0,1,existing loans paid back duly till now,0
340,24,female,divorced/separated/married,1,for free,4,skilled employee / official,0 year,1,Low,0,2 lac,24,education,5743000,2,car or other,0,0,2,critical/pending loans at other banks,0
341,26,female,divorced/separated/married,1,rent,4,unskilled - resident,4 years,1,Low,0,0,21,FF&E,3599000,1,car or other,0,0,1,existing loans paid back duly till now,0
342,25,male,married/widowed,1,rent,3,skilled employee / official,0 year,1,High,0,2 lac,18,electronic equipment,3213000,1,real estate,0,0,1,existing loans paid back duly till now,0
343,33,male,single,1,own,1,management / self-employed / highly qualified employee / officer,7 years,1,Low,0,2 lac,18,business,4439000,1,real estate,1,0,1,existing loans paid back duly till now,0
344,37,male,single,2,own,1,unskilled - resident,0 year,1,Low,2 lac,0,10,new vehicle,3949000,1,building society savings agreement/life insurance,0,1,1,existing loans paid back duly till now,0
345,43,female,divorced/separated/married,1,own,2,unskilled - resident,1 year,1,Low,0,0,15,electronic equipment,1459000,4,car or other,0,0,1,critical/pending loans at other banks,0
346,23,male,single,1,own,4,skilled employee / official,0 year,1,Low,0,2 lac,13,electronic equipment,882000,4,real estate,0,1,2,critical/pending loans at other banks,0
347,23,female,divorced/separated/married,1,rent,4,unemployed / unskilled - non-resident,0 year,1,High,0,2 lac,24,electronic equipment,3758000,1,car or other,0,0,1,existing loans paid back duly till now,0
348,34,male,single,1,own,2,unskilled - resident,1 year,1,Medium,0,0,6,business,1743000,1,real estate,0,0,2,delay in paying off loans in the past,0
349,32,male,single,2,for free,3,skilled employee / official,7 years,1,Very high,0,2 lac,9,education,1136000,4,car or other,0,0,2,critical/pending loans at other banks,1
350,23,female,divorced/separated/married,1,rent,4,skilled employee / official,0 year,1,Low,0,0,9,domestic appliances,1236000,1,real estate,0,0,1,existing loans paid back duly till now,0
351,29,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,0,Low,0,2 lac,9,FF&E,959000,1,car or other,0,0,1,existing loans paid back duly till now,1
352,38,male,single,1,own,4,management / self-employed / highly qualified employee / officer,0 year,1,Low,0,0,18,used vehicle,3229000,2,car or other,0,0,1,critical/pending loans at other banks,0
353,28,male,single,1,rent,2,skilled employee / official,1 year,1,Low,0,0,12,electronic equipment,6199000,4,building society savings agreement/life insurance,0,0,2,no loans taken/all loans paid back duly,1
354,46,male,single,1,for free,4,skilled employee / official,7 years,1,High,0,0,10,education,727000,4,car or other,0,0,1,existing loans paid back duly till now,0
355,23,male,single,1,own,2,unskilled - resident,0 year,1,Low,0,2 lac,24,new vehicle,1246000,4,real estate,0,0,1,existing loans paid back duly till now,1
356,49,male,single,1,own,4,skilled employee / official,7 years,1,Low,0,0,12,electronic equipment,2331000,1,real estate,1,0,1,critical/pending loans at other banks,0
357,26,male,single,1,own,2,management / self-employed / highly qualified employee / officer,1 year,1,Low,0,0,36,electronic equipment,4463000,4,car or other,0,0,2,delay in paying off loans in the past,1
358,28,male,married/widowed,1,own,2,skilled employee / official,1 year,1,Low,0,0,12,electronic equipment,776000,4,real estate,0,0,1,existing loans paid back duly till now,0
359,23,female,divorced/separated/married,1,rent,4,skilled employee / official,4 years,1,Low,0,0,30,FF&E,2406000,4,real estate,0,0,1,existing loans paid back duly till now,1
360,61,male,single,1,for free,4,skilled employee / official,1 year,1,Low,0,2 lac,18,education,1239000,4,car or other,0,0,1,existing loans paid back duly till now,0
361,37,male,single,1,own,3,management / self-employed / highly qualified employee / officer,7 years,1,Low,2 lac,0,12,electronic equipment,3399000,2,car or other,0,0,1,existing loans paid back duly till now,0
362,36,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,1,Low,2 lac,0,12,new vehicle,2247000,2,car or other,0,0,2,delay in paying off loans in the past,0
363,21,male,married/widowed,1,rent,2,skilled employee / official,1 year,1,Low,0,0,6,FF&E,1766000,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
364,25,male,single,1,own,1,unemployed / unskilled - non-resident,0 year,1,Low,0,0,18,FF&E,2473000,4,car or other,0,0,1,existing loans paid back duly till now,1
365,36,male,single,1,own,4,skilled employee / official,4 years,1,Low,0,0,12,business,1542000,2,car or other,0,0,1,existing loans paid back duly till now,0
366,27,male,single,1,own,1,skilled employee / official,4 years,1,Low,0,0,18,used vehicle,3850000,3,car or other,0,0,2,critical/pending loans at other banks,0
367,22,female,divorced/separated/married,1,rent,4,skilled employee / official,0 year,1,Low,0,0,18,FF&E,3650000,1,car or other,0,0,1,existing loans paid back duly till now,0
368,42,male,single,2,own,2,skilled employee / official,7 years,1,Low,0,0,36,FF&E,3446000,4,car or other,0,0,1,existing loans paid back duly till now,1
369,40,female,divorced/separated/married,1,rent,4,skilled employee / official,4 years,1,Low,0,2 lac,18,FF&E,3001000,2,real estate,0,0,1,existing loans paid back duly till now,0
370,36,male,single,1,own,4,skilled employee / official,1 year,1,Low,0,0,36,new vehicle,3079000,4,real estate,0,0,1,existing loans paid back duly till now,0
371,33,male,single,1,own,4,skilled employee / official,7 years,1,Low,0,0,18,electronic equipment,6070000,3,car or other,0,0,2,critical/pending loans at other banks,0
372,23,female,divorced/separated/married,1,rent,3,skilled employee / official,0 year,1,Low,0,0,10,FF&E,2146000,1,real estate,0,0,2,critical/pending loans at other banks,0
373,63,male,single,1,for free,4,management / self-employed / highly qualified employee / officer,7 years,1,Low,0,0,60,new vehicle,13756000,2,car or other,0,0,1,critical/pending loans at other banks,0
374,60,female,divorced/separated/married,1,for free,4,management / self-employed / highly qualified employee / officer,7 years,1,Medium,0,2 lac,60,electronic equipment,14782000,3,car or other,0,0,2,all loans at this bank paid back duly,1
375,37,female,divorced/separated/married,1,rent,4,skilled employee / official,4 years,1,Low,0,0,48,business,7685000,2,car or other,0,1,1,all loans at this bank paid back duly,1
376,34,male,married/widowed,1,own,3,skilled employee / official,0 year,1,Low,0,0,18,electronic equipment,2320000,2,real estate,0,0,2,delay in paying off loans in the past,0
377,36,male,single,1,for free,4,skilled employee / official,7 years,1,Low,0,0,7,electronic equipment,846000,3,car or other,0,0,1,delay in paying off loans in the past,0
378,57,male,single,1,for free,2,management / self-employed / highly qualified employee / officer,7 years,1,Low,0,2 lac,36,new vehicle,14318000,4,car or other,0,0,1,existing loans paid back duly till now,1
379,52,female,divorced/separated/married,1,own,4,unskilled - resident,1 year,1,Medium,0,0,6,new vehicle,362000,4,car or other,0,0,2,critical/pending loans at other banks,0
380,39,male,single,1,own,4,skilled employee / official,4 years,1,Low,0,0,20,FF&E,2212000,4,car or other,0,0,1,existing loans paid back duly till now,0
381,38,female,divorced/separated/married,1,for free,4,management / self-employed / highly qualified employee / officer,0 year,1,Low,0,2 lac,18,used vehicle,12976000,3,car or other,0,0,1,existing loans paid back duly till now,1
382,25,female,divorced/separated/married,1,rent,4,skilled employee / official,4 years,1,Low,0,0,22,new vehicle,1283000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
383,26,male,single,1,own,1,skilled employee / official,0 year,1,Low,2 lac,0,12,new vehicle,1330000,4,real estate,0,0,1,existing loans paid back duly till now,0
384,26,male,single,1,own,2,unskilled - resident,1 year,1,Medium,0,0,30,business,4272000,2,building society savings agreement/life insurance,0,0,2,delay in paying off loans in the past,0
385,25,female,divorced/separated/married,1,own,1,skilled employee / official,1 year,1,Low,0,0,18,electronic equipment,2238000,2,car or other,0,0,2,critical/pending loans at other banks,0
386,21,female,divorced/separated/married,1,rent,2,skilled employee / official,0 year,1,Low,0,0,18,electronic equipment,1126000,4,real estate,0,0,1,existing loans paid back duly till now,0
387,40,male,single,1,own,4,management / self-employed / highly qualified employee / officer,0 year,1,Low,0,2 lac,18,FF&E,7374000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0
388,27,male,single,1,own,4,skilled employee / official,1 year,1,High,0,2 lac,15,business,2326000,2,car or other,0,0,1,critical/pending loans at other banks,0
389,27,female,divorced/separated/married,1,own,2,skilled employee / official,4 years,1,Low,0,0,9,business,1449000,3,car or other,0,0,2,existing loans paid back duly till now,0
390,30,male,married/widowed,1,own,2,management / self-employed / highly qualified employee / officer,1 year,1,Low,0,0,18,new vehicle,1820000,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
391,19,female,divorced/separated/married,1,rent,4,unskilled - resident,0 year,1,Very high,0,2 lac,12,FF&E,983000,1,real estate,0,0,1,existing loans paid back duly till now,0
392,39,male,single,2,for free,4,management / self-employed / highly qualified employee / officer,4 years,1,Low,0,0,36,new vehicle,3249000,2,car or other,0,0,1,existing loans paid back duly till now,0
393,31,female,divorced/separated/married,1,own,4,skilled employee / official,4 years,1,Low,0,0,6,electronic equipment,1957000,1,car or other,0,0,1,critical/pending loans at other banks,0
394,31,male,single,1,own,3,management / self-employed / highly qualified employee / officer,0 year,1,Low,0,0,9,FF&E,2406000,2,car or other,0,0,1,critical/pending loans at other banks,0
395,32,male,single,1,rent,3,skilled employee / official,4 years,1,Medium,0,2 lac,39,education,11760000,2,car or other,0,0,1,delay in paying off loans in the past,0
396,55,female,divorced/separated/married,1,for free,4,management / self-employed / highly qualified employee / officer,0 year,1,Low,0,0,12,FF&E,2578000,3,car or other,0,0,1,existing loans paid back duly till now,0
397,46,male,married/widowed,1,own,2,skilled employee / official,1 year,1,Low,0,0,36,FF&E,2348000,3,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0
398,46,male,divorced/separated,1,rent,1,skilled employee / official,7 years,1,Low,0,2 lac,12,new vehicle,1223000,1,real estate,0,0,2,existing loans paid back duly till now,1
399,43,female,divorced/separated/married,1,own,1,unskilled - resident,1 year,1,Very high,0,0,24,electronic equipment,1516000,4,real estate,0,0,2,critical/pending loans at other banks,0
400,39,male,married/widowed,1,own,4,skilled employee / official,0 year,1,Low,0,0,18,electronic equipment,1473000,3,real estate,0,0,1,existing loans paid back duly till now,0
401,28,male,married/widowed,1,own,4,skilled employee / official,1 year,1,Low,0,2 lac,18,business,1887000,4,real estate,0,0,2,critical/pending loans at other banks,0
402,27,male,single,1,own,2,skilled employee / official,0 year,1,Low,0,0,24,business,8648000,2,car or other,0,0,2,delay in paying off loans in the past,1
403,27,male,single,1,own,2,unskilled - resident,1 year,1,Low,0,0,14,new vehicle,802000,4,car or other,0,0,2,delay in paying off loans in the past,0
404,43,male,single,2,own,4,skilled employee / official,7 years,1,Low,0,2 lac,18,new vehicle,2899000,4,car or other,0,0,1,delay in paying off loans in the past,0
405,22,male,married/widowed,1,own,1,skilled employee / official,0 year,1,Low,0,2 lac,24,electronic equipment,2039000,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1
406,43,male,single,2,own,4,skilled employee / official,4 years,1,Low,0,0,24,used vehicle,2197000,4,car or other,0,0,2,critical/pending loans at other banks,0
407,27,male,married/widowed,1,own,2,skilled employee / official,0 year,0,Low,0,0,15,electronic equipment,1053000,4,real estate,0,0,1,existing loans paid back duly till now,0
408,26,male,divorced/separated,1,own,2,management / self-employed / highly qualified employee / officer,7 years,1,High,0,0,24,electronic equipment,3235000,3,car or other,0,0,1,existing loans paid back duly till now,0
409,28,male,married/widowed,1,own,2,skilled employee / official,4 years,1,High,2 lac,0,12,new vehicle,939000,4,real estate,0,0,3,critical/pending loans at other banks,1
410,20,female,divorced/separated/married,1,own,4,skilled employee / official,7 years,1,Low,0,2 lac,24,electronic equipment,1967000,4,car or other,0,0,1,existing loans paid back duly till now,0
411,35,male,single,1,own,2,management / self-employed / highly qualified employee / officer,4 years,1,Low,0,0,33,used vehicle,7253000,3,car or other,0,0,2,critical/pending loans at other banks,0
412,42,male,single,1,own,2,management / self-employed / highly qualified employee / officer,0 year,1,Low,0,0,12,business,2292000,4,car or other,0,0,2,critical/pending loans at other banks,1
413,40,male,single,2,rent,2,unskilled - resident,1 year,0,High,0,0,10,new vehicle,1597000,3,car or other,0,0,1,existing loans paid back duly till now,0
414,35,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,1,Low,0,0,24,new vehicle,1381000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1
415,35,male,single,2,own,2,skilled employee / official,7 years,1,Low,0,0,36,used vehicle,5842000,2,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0
416,33,male,single,2,own,1,unskilled - resident,0 year,1,Low,0,0,12,new vehicle,2579000,4,real estate,0,0,1,existing loans paid back duly till now,1
